"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: fileName","Param: j"
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"16,006865","5,587270","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,210560","0,053328","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,659831","0,346506","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,857080","2,160734","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"7,010321","0,161641","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"140,285717","4,359875","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1390,841888","38,900009","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,247060","0,020624","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,727019","0,642456","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,586290","2,345235","ms/op",16384,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"164,674076","22,380630","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"3212,754720","53,199935","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"34754,741900","3072,021515","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,225127","0,065892","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,663396","0,218141","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,639034","5,695577","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,286624","0,090913","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"2,043161","0,387931","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"19,217586","3,910969","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"34,205761","2,288898","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"679,967895","17,743278","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"6827,543350","244,305797","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,255469","0,113203","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,647868","0,252306","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,800448","5,096841","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"0,291944","0,232682","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"1,668274","0,254840","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,100
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"15,878965","4,289069","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,1000
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"6,069770","0,209565","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,5
"benchmark.RandomJumpBenchmark.mappedReader","avgt",1,5,"114,374078","3,565485","ms/op",65536,C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,100
